Source,Target,Type,Id,Label,timeset,Weight
404,404,directed,724,,,1
404,1836,directed,725,,,1
404,818,directed,726,,,1
404,492,directed,727,,,1
405,4370,directed,728,,,1
405,4369,directed,729,,,1
405,4355,directed,730,,,1
405,4378,directed,731,,,1
405,3681,directed,732,,,2
405,4360,directed,733,,,1
405,4389,directed,734,,,1
405,3681,directed,735,,,2
405,4364,directed,736,,,1
406,410,directed,737,,,1
409,409,directed,738,,,1
412,75,directed,739,,,1
413,60,directed,740,,,1
417,388,directed,741,,,1
424,424,directed,742,,,1
434,434,directed,743,,,1
443,4293,directed,744,,,1
444,444,directed,745,,,1
445,820,directed,746,,,1
446,137,directed,747,,,1
446,963,directed,748,,,1
447,1327,directed,749,,,1
450,450,directed,750,,,4
450,450,directed,751,,,4
450,450,directed,752,,,4
450,450,directed,753,,,4
462,51,directed,754,,,1
462,273,directed,755,,,1
462,94,directed,756,,,1
462,972,directed,757,,,1
463,463,directed,758,,,1
463,642,directed,759,,,1
463,1288,directed,760,,,1
471,177,directed,761,,,1
476,267,directed,762,,,1
476,54,directed,763,,,1
476,1069,directed,764,,,1
476,135,directed,765,,,1
476,301,directed,766,,,1
476,460,directed,767,,,1
476,544,directed,768,,,1
476,2706,directed,769,,,1
476,709,directed,770,,,1
476,541,directed,771,,,1
476,520,directed,772,,,1
476,420,directed,773,,,1
476,975,directed,774,,,1
476,51,directed,775,,,1
476,451,directed,776,,,1
476,961,directed,777,,,1
476,521,directed,778,,,1
476,4575,directed,779,,,1
476,829,directed,780,,,1
476,104,directed,781,,,1
476,186,directed,782,,,1
476,647,directed,783,,,1
476,117,directed,784,,,1
476,234,directed,785,,,1
476,2696,directed,786,,,1
476,4564,directed,787,,,1
476,188,directed,788,,,1
476,431,directed,789,,,1
476,390,directed,790,,,1
476,225,directed,791,,,1
476,321,directed,792,,,2
476,405,directed,793,,,1
476,475,directed,794,,,1
476,383,directed,795,,,1
476,2440,directed,796,,,1
476,1288,directed,797,,,1
476,321,directed,798,,,2
476,60,directed,799,,,1
476,2545,directed,800,,,1
476,2567,directed,801,,,1
476,82,directed,802,,,1
476,642,directed,803,,,1
476,2391,directed,804,,,1
476,38,directed,805,,,1
476,49,directed,806,,,1
476,860,directed,807,,,1
476,261,directed,808,,,1
476,2665,directed,809,,,1
486,480,directed,810,,,2
486,486,directed,811,,,1
486,480,directed,812,,,2
486,185,directed,813,,,1
486,83,directed,814,,,1
486,241,directed,815,,,1
486,0,directed,816,,,1
486,35,directed,817,,,1
486,1170,directed,818,,,1
486,108,directed,819,,,1
486,511,directed,820,,,1
486,395,directed,821,,,1
486,73,directed,822,,,1
486,1799,directed,823,,,1
486,4413,directed,824,,,1
486,1141,directed,825,,,1
486,60,directed,826,,,1
487,2353,directed,827,,,1
497,911,directed,828,,,1
501,581,directed,829,,,1
501,1120,directed,830,,,1
501,255,directed,831,,,1
502,68,directed,832,,,1
503,2104,directed,833,,,1
505,242,directed,834,,,1
509,261,directed,835,,,1
514,514,directed,836,,,3
514,514,directed,837,,,3
514,514,directed,838,,,3
519,596,directed,839,,,1
519,519,directed,840,,,1
521,465,directed,841,,,1
522,522,directed,842,,,1
526,1447,directed,843,,,1
531,1799,directed,844,,,1
535,75,directed,845,,,1
535,61,directed,846,,,1
535,434,directed,847,,,1
535,0,directed,848,,,1
540,540,directed,849,,,1
541,452,directed,850,,,1
541,1781,directed,851,,,1
541,674,directed,852,,,1
541,829,directed,853,,,1
544,544,directed,854,,,1
545,396,directed,855,,,1
546,2755,directed,856,,,1
546,2353,directed,857,,,1
553,251,directed,858,,,1
553,553,directed,859,,,1
556,556,directed,860,,,1
557,738,directed,861,,,1
557,557,directed,862,,,1
557,4035,directed,863,,,1
564,558,directed,864,,,1
564,564,directed,865,,,1
567,567,directed,866,,,1
570,266,directed,867,,,1
571,585,directed,868,,,1
571,217,directed,869,,,3
571,55,directed,870,,,2
571,55,directed,871,,,2
571,217,directed,872,,,3
571,217,directed,873,,,3
573,339,directed,874,,,1
573,759,directed,875,,,1
585,585,directed,876,,,1
585,55,directed,877,,,4
585,55,directed,878,,,4
585,55,directed,879,,,4
585,55,directed,880,,,4
590,590,directed,881,,,1
590,2179,directed,882,,,1
590,591,directed,883,,,1
590,136,directed,884,,,1
590,19,directed,885,,,1
590,139,directed,886,,,3
590,139,directed,887,,,3
590,139,directed,888,,,3
590,922,directed,889,,,1
590,1456,directed,890,,,1
590,676,directed,891,,,1
590,994,directed,892,,,1
593,206,directed,893,,,1
593,55,directed,894,,,1
605,57,directed,895,,,1
605,605,directed,896,,,2
605,3,directed,897,,,1
605,605,directed,898,,,2
607,597,directed,899,,,1
607,619,directed,900,,,1
607,234,directed,901,,,1
607,609,directed,902,,,1
607,611,directed,903,,,1
607,607,directed,904,,,2
607,242,directed,905,,,1
607,1200,directed,906,,,1
607,644,directed,907,,,1
607,447,directed,908,,,1
607,4165,directed,909,,,1
607,4898,directed,910,,,1
607,824,directed,911,,,1
607,297,directed,912,,,1
607,232,directed,913,,,1
607,1376,directed,914,,,1
607,145,directed,915,,,1
607,642,directed,916,,,1
607,321,directed,917,,,1
607,5687,directed,918,,,1
607,2144,directed,919,,,1
607,607,directed,920,,,2
610,278,directed,921,,,1
610,66,directed,922,,,1
610,135,directed,923,,,1
610,234,directed,924,,,1
610,516,directed,925,,,1
610,975,directed,926,,,1
610,451,directed,927,,,1
610,829,directed,928,,,1
610,642,directed,929,,,1
610,38,directed,930,,,1
611,392,directed,931,,,1
616,616,directed,932,,,1
624,4305,directed,933,,,1
625,2860,directed,934,,,1
628,1927,directed,935,,,1
628,503,directed,936,,,1
629,629,directed,937,,,1
630,53,directed,938,,,1
630,1630,directed,939,,,1
630,3072,directed,940,,,1
638,64,directed,941,,,1
641,641,directed,942,,,1
642,4480,directed,943,,,1
642,4490,directed,944,,,1
642,610,directed,945,,,1
642,4868,directed,946,,,1
642,4896,directed,947,,,1
657,4820,directed,948,,,1
658,2552,directed,949,,,1
658,823,directed,950,,,1
660,708,directed,951,,,1
661,520,directed,952,,,1
661,156,directed,953,,,1
661,2568,directed,954,,,1
662,662,directed,955,,,4
662,662,directed,956,,,4
662,662,directed,957,,,4
662,662,directed,958,,,4
663,2214,directed,959,,,1
666,666,directed,960,,,2
666,666,directed,961,,,2
671,2283,directed,962,,,1
672,672,directed,963,,,1
673,609,directed,964,,,1
673,1265,directed,965,,,1
673,1418,directed,966,,,1
673,1263,directed,967,,,1
673,211,directed,968,,,1
674,177,directed,969,,,1
674,1429,directed,970,,,1
676,1060,directed,971,,,1
677,14,directed,972,,,1
679,49,directed,973,,,1
680,1120,directed,974,,,1
680,255,directed,975,,,1
680,501,directed,976,,,1
685,1969,directed,977,,,1
686,196,directed,978,,,1
687,80,directed,979,,,1
687,123,directed,980,,,1
688,826,directed,981,,,1
688,153,directed,982,,,1
688,796,directed,983,,,1
688,1266,directed,984,,,1
693,3617,directed,985,,,1
694,54,directed,986,,,1
694,104,directed,987,,,1
694,694,directed,988,,,2
694,2186,directed,989,,,1
694,1810,directed,990,,,1
694,38,directed,991,,,1
694,1288,directed,992,,,1
694,135,directed,993,,,1
694,117,directed,994,,,1
694,694,directed,995,,,2
697,729,directed,996,,,1
706,213,directed,997,,,1
708,660,directed,998,,,1
710,710,directed,999,,,1
712,36,directed,1000,,,1
712,1572,directed,1001,,,1
712,280,directed,1002,,,1
716,464,directed,1003,,,1
718,28,directed,1004,,,1
719,266,directed,1005,,,3
719,269,directed,1006,,,1
719,1035,directed,1007,,,1
719,1540,directed,1008,,,1
719,9,directed,1009,,,1
719,719,directed,1010,,,6
719,719,directed,1011,,,6
719,2137,directed,1012,,,1
719,397,directed,1013,,,1
719,55,directed,1014,,,1
719,833,directed,1015,,,1
719,2386,directed,1016,,,1
719,266,directed,1017,,,3
719,570,directed,1018,,,1
719,719,directed,1019,,,6
719,719,directed,1020,,,6
719,112,directed,1021,,,2
719,719,directed,1022,,,6
719,719,directed,1023,,,6
719,1766,directed,1024,,,1
719,266,directed,1025,,,3
